Tick 1108973(1108516), Delay 44 ms, IGT 15:23:43.206, RTA 97:30:40.988-97:30:41.032
Tick 1108994(1108537), Delay 45 ms, IGT 15:23:44.256, RTA 97:30:42.037-97:30:42.082
Tick 1109158(1108701), Delay 61 ms, IGT 15:23:52.456, RTA 97:30:50.231-97:30:50.292
Tick 1109159(1108702), Delay 42 ms, IGT 15:23:52.506, RTA 97:30:50.292-97:30:50.334
Tick 1109760(1109303), Delay 58 ms, IGT 15:24:22.556, RTA 97:31:20.334-97:31:20.392
Tick 1109761(1109304), Delay 42 ms, IGT 15:24:22.606, RTA 97:31:20.392-97:31:20.434
Tick 1109788(1109331), Delay 45 ms, IGT 15:24:23.956, RTA 97:31:21.736-97:31:21.781
Tick 1109800(1109343), Delay 58 ms, IGT 15:24:24.556, RTA 97:31:22.331-97:31:22.389
Tick 1109821(1109364), Delay 118 ms, IGT 15:24:25.606, RTA 97:31:23.385-97:31:23.503
Tick 1109822(1109365), Delay 1 ms, IGT 15:24:25.656, RTA 97:31:23.503-97:31:23.504
Tick 1109823(1109366), Delay 29 ms, IGT 15:24:25.706, RTA 97:31:23.504-97:31:23.533
Tick 1109872(1109415), Delay 112 ms, IGT 15:24:28.156, RTA 97:31:25.931-97:31:26.043
Tick 1109873(1109416), Delay 1 ms, IGT 15:24:28.206, RTA 97:31:26.043-97:31:26.044
Tick 1109874(1109417), Delay 41 ms, IGT 15:24:28.256, RTA 97:31:26.044-97:31:26.085
Tick 1110075(1109618), Delay 64 ms, IGT 15:24:38.306, RTA 97:31:36.084-97:31:36.148
Tick 1110076(1109619), Delay 34 ms, IGT 15:24:38.356, RTA 97:31:36.148-97:31:36.182
Tick 1110137(1109680), Delay 118 ms, IGT 15:24:41.406, RTA 97:31:39.185-97:31:39.303
Tick 1110138(1109681), Delay 1 ms, IGT 15:24:41.456, RTA 97:31:39.303-97:31:39.304
Tick 1110139(1109682), Delay 29 ms, IGT 15:24:41.506, RTA 97:31:39.304-97:31:39.333
Tick 1110161(1109704), Delay 65 ms, IGT 15:24:42.606, RTA 97:31:40.383-97:31:40.448
Tick 1110162(1109705), Delay 33 ms, IGT 15:24:42.656, RTA 97:31:40.448-97:31:40.481
