No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
2    15:33:21.707   98:12:16.885   98:12:33.042   16.157     16.157     Paused by player, Unpause by player
0    15:33:47.007   98:12:58.357   98:13:00.446   2.089                 Paused by player, Unpause by rendered
1    15:34:04.149   98:13:17.616   98:13:18.067   0.451      0.451      Paused by player, Unpause by player
2    15:34:12.049   98:13:25.980   98:13:38.218   12.238     12.238     Paused by player, Unpause by player
0    15:34:22.499   98:13:48.673   98:13:50.791   2.118                 Paused by player, Unpause by rendered
1    15:35:17.093   98:14:45.425   98:14:48.694   3.269      3.269      Paused by player, Unpause by player
2    15:35:21.593   98:14:53.223   98:18:37.946   224.723    224.723    Paused by player, Unpause by player
3    15:35:29.443   98:18:45.805   98:18:58.446   12.641     12.641     Paused by player, Unpause by player
4    15:35:50.293   98:19:19.308   98:19:49.055   29.747     29.747     Paused by player, Unpause by player
5    15:37:26.193   98:21:24.934   98:21:48.744   23.810     23.810     Paused by player, Unpause by player
6    15:37:32.893   98:21:55.428   98:22:37.203   41.775     41.775     Paused by player, Unpause by player
7    15:38:25.743   98:23:30.063   98:24:10.478   40.415     40.415     Paused by player, Unpause by player
8    15:38:30.893   98:24:15.640   98:25:36.044   80.404     80.404     Paused by player, Unpause by player
9    15:38:32.743   98:25:37.818   98:25:45.221   7.403      7.403      Paused by player, Unpause by player
10   15:39:04.893   98:26:17.382   98:27:15.777   58.395     58.395     Paused by player, Unpause by player
0    15:39:22.293   98:27:33.174   98:27:35.352   2.178                 Paused by player, Unpause by rendered
1    15:40:38.285   98:28:51.357   98:29:48.768   57.411     57.411     Paused by player, Unpause by player
0    15:40:44.235   98:29:54.704   98:29:56.763   2.059                 Paused by player, Unpause by rendered
1    15:41:15.273   98:30:27.839   98:31:19.239   51.400     51.400     Paused by player, Unpause by player
0    15:41:16.573   98:31:20.566   98:31:22.493   1.927                 Paused by player, Unpause by rendered
1    15:44:41.755   98:34:47.694   98:34:59.173   11.479     11.479     Paused by player, Unpause by player
2    15:45:20.805   98:35:38.207   98:35:39.222   1.015      1.015      Paused by player, Unpause by player
3    15:45:26.305   98:35:44.716   98:36:02.536   17.820     17.820     Paused by player, Unpause by player
4    15:46:28.805   98:37:05.058   98:37:17.007   11.949     6.949      Paused by player, Unpause by player / changed options (2)
1    15:47:42.055   00:00.000      98:40:02.035   355202.035            Paused by dimension load?, Unpause by changed look direction
0    15:47:44.763   98:40:04.734   98:52:27.697   742.963               Paused by player, Unpause by rendered
1    15:47:53.854   98:52:36.832   98:56:00.491   203.659    203.659    Paused by player, Unpause by player
0    15:48:00.454   98:56:07.094   98:58:54.178   167.084               Paused by player, Unpause by rendered
1    15:50:05.350   99:00:59.086   99:01:40.870   41.784     41.784     Paused by player, Unpause by player
2    15:50:10.300   99:01:45.783   99:13:06.473   680.690    680.690    Paused by player, Unpause by player
3    15:50:11.400   99:13:07.585   99:13:13.631   6.046      6.046      Paused by player, Unpause by player
4    15:50:12.250   99:13:14.501   99:13:24.448   9.947      9.947      Paused by player, Unpause by player
5    15:50:13.200   99:13:25.385   99:13:25.758   0.373      0.373      Paused by player, Unpause by player
6    15:50:24.100   99:13:36.650   99:13:38.097   1.447      1.447      Paused by player, Unpause by player
0    15:52:46.800   99:16:00.807   99:16:03.429   2.622                 Paused by player, Unpause by rendered
1    15:53:11.550   99:16:28.207   99:16:29.405   1.198      1.198      Paused by player, Unpause by player
0    15:56:29.550   99:19:47.397   99:59:36.465   2389.068              Paused by player, Unpause by rendered
1    16:05:54.335   100:09:01.265  100:55:47.248  2805.983   2805.983   Paused by player, Unpause by player
0    16:05:55.885   100:55:48.809  100:55:51.846  3.037                 Paused by player, Unpause by rendered
1    16:06:05.676   100:56:01.651  100:56:12.037  10.386     10.386     Paused by player, Unpause by player
2    16:06:19.226   100:56:25.608  101:11:49.973  924.365    924.365    Paused by player, Unpause by player
0    16:06:21.776   101:11:52.534  101:11:54.481  1.947                 Paused by player, Unpause by rendered
